Customer_id,Terminal DateTime,TranType,Term  Seq.,Response,Issuer,amount_requested,amount_dispensed,fee_requested,fee_charged
9033628238455692395,01/01/21 00:01:45,W/D,1607,NSF,MS0,20,0,0,0
7003115162260689319,01/01/21 09:49:38,W/D,1608,Approved,PUL,60,60,3,3
9004838456751242991,01/01/21 12:48:43,W/D,1609,Approved,PUL,80,80,3,3
4042520575170416309,01/01/21 12:55:21,INQ,1610,Approved,MS0,0,0,0,0
7003115162260689319,01/01/21 18:20:57,W/D,1611,Approved,PUL,100,100,3,3
1530512927162793801,01/01/21 21:24:44,W/D,1612,Approved,WAE,200,200,3,3
7003115162260689319,01/02/21 00:34:50,W/D,1613,Approved,PUL,100,100,3,3
7003115162260689319,01/02/21 11:31:30,INQ,1614,Approved,PUL,0,0,0,0
7003115162260689319,01/02/21 11:32:19,W/D,1615,Approved,PUL,100,100,3,3
4046660026840697421,01/02/21 11:54:39,INQ,1616,Approved,EXC,0,0,0,0
4046660026840697421,01/02/21 12:09:31,INQ,1617,Approved,EXC,0,0,0,0
4046660026840697421,01/02/21 12:11:00,INQ,1618,Approved,EXC,0,0,0,0
4046660026840697421,01/02/21 12:27:03,INQ,1619,Approved,EXC,0,0,0,0
4046660026840697421,01/02/21 12:27:56,W/D,1620,EMV,EXC,200,200,3,3
1530512927162793801,01/02/21 13:13:18,W/D,1621,Approved,WAE,40,40,3,3
8120477730784561281,01/02/21 23:12:08,W/D,1622,NSF,MS0,200,0,0,0
8065590240330260039,01/03/21 05:40:27,W/D,1623,NSF,PUL,100,0,0,0
8065590240330260039,01/03/21 05:41:41,W/D,1624,EMV,PUL,80,80,3,3
3782363577224914202,01/03/21 11:13:54,INQ,1625,Approved,MS0,0,0,0,0
9162425748509474990,01/03/21 12:49:53,W/D,1626,Approved,WAE,100,100,3,3
7440246499484235767,01/03/21 16:36:03,W/D,1627,EMV,PUL,100,100,3,3
5575115409202626006,01/03/21 16:39:51,W/D,1628,DO NOT H,CAE,200,0,0,0
5575115409202626006,01/03/21 16:40:59,W/D,1629,DO NOT H,CAE,200,0,0,0
7440246499484235767,01/03/21 18:23:45,INQ,1630,Approved,PUL,0,0,0,0
7440246499484235767,01/03/21 18:25:57,W/D,1631,NSF,PUL,80,0,0,0
